location_id,org_id,name,address,zip_code,service_type,hours,contact_phone,contact_email,contact_web,notes
11,,Friends of the Poor - St. Luke’s Episcopal Church,"""123 Wyoming Avenue, Scranton, PA""",18503,Food Pantry,3rd Tuesday of each month 1:00 PM to 2:30 PM,570-342-1342,,https://friendsofthepoorscranton.com/food-assistance/,Online enroll before using service. Residents of Carbondale - Jermyn - Scranton - and Taylor
12,,Friends of the Poor - St. Luke’s Episcopal Church,"""430 Pittston Avenue, Scranton, PA""",18505,Food Pantry,,570-342-1342,,https://friendsofthepoorscranton.com/food-assistance/,
13,,Friends of the Poor - Valley View Terrace,"""950 Pear Street - Building 9, Scranton, PA""",18505,Food Pantry,Monday & Tuesday 9:30 AM to 12:30 PM. Wednesday and Friday. 9:30am -4:30pm,570-348-3119,,https://friendsofthepoorscranton.com/food-assistance/,
14,,Friends of the Poor - Jackson Terrace,"""148 Meridian Avenue, Scranton, PA""",18504,Food Pantry,"Monday, Tuesday, Thursday, Friday 9:00 AM to 4:00 PM. Wednesday 9:00pm – 6:00pm. First Saturday every month 9:00 a.m. to 12:00 p.m.",570-348-4429,,https://friendsofthepoorscranton.com/food-assistance/,
15,,Campus Food Pantry,"""240 University Drive, Schuylkill Haven, PA""",17972,Food Pantry,Fall and Spring Semesters: Monday through Friday 8:00 a.m. to 5:00 p.m. Summer semester: Monday through Friday 9:00 a.m. 2:00 p.m,570-385-6114,Bryan.Valentine@psu.edu,https://schuylkill.psu.edu/campus-life/student-services/campus-food-pantry,For students of PSU Schuylkill. PSU ID required
16,,The Salvation Army Lock Haven Corps,"""119 East Church Street, Lock Haven, PA""",17745,Food Distribution,"Pantry: Tuesdays and Thursdays 9am-11am  ""More than Bread Express"" Hot Meals Monday-Friday 11:30am to 12:30pm ",570-748-2951,,,All are welcome.
17,,CEO Hazleton Food Pantry,"""100 West Broad Street Suite 11 Lower Level, Hazelton, PA""",18201,Food Pantry,Monday and Thursday 1:00 pm - 4:00 pm - Friday 9:00 am - 12:00 pm,570-826-0510,,https://www.ceopeoplehelpingpeople.org/find_a_food_pantry,Residents of Luzerne County and Wyoming County
18,,Grace Covenant Community Church,"""99 Cafe Lane, Middleburg , PA""",17842,Food Pantry,Monday 10am-11am amd Wednesday 5pm-6pm ,570-837-5809,gccc1@ptd.net,https://www.g3c.net/,Snyder county rsident and proof of address for each person
19,,Salvation Army - Renovo,"""127 7th Street, Renovo, PA""",17760,Food Pantry,"Monday-Thursday 8am-2pm, Friday 8am-1pm",570-923-1011,Robin.Davenport@use.salvationarmy.org,https://www.facebook.com/p/The-Salvation-Army-Renovo-61555503189822/,Call or check facebook page for food pantry days
20,,Lionshare Food Pantry,"""2809 Saucon Valley Road, Center Valley, PA""",18034,Food Pantry,Thursdays noon to 2:00 p.m,610-285-5000,tuy3@psu.edu,https://lehighvalley.psu.edu/student-life/lionshare-food-pantry,For students of PSU Lehigh Valley. Must complete form each visit. https://lehighvalley.psu.edu/student-life/lionshare-food-pantry/form/lionshare-intake-form
21,,Helping Harvest,"""117 Morgan Drive, Reading, PA""",19608,Food Bank,Monday-Friday 8:00am-4:30pm,610-926-5802,,https://helpingharvest.org/,
22,,Lewistown Shelter Service,"""13 Depot Street, Lewistown, PA""",17044,Support Services,,717-248-0102,,,Shelter and housing
23,,Salvation Army Lewistown Corps,"""9 South Dorcas Street, Lewistown, PA""",17044,Food Bank,9am-3pm MTTh 9am-5pm F,717-248-8338,,,
24,,First United Methodist Church,"""29 East Walnut Street, Lancaster, PA""",17603,Food Distribution,Monday to Friday (Breakfast only) 8:30AM-9:45AM,717-394-7231,,https://www.engagegodfirst.org/,
25,,Juniata County Food Pantry,"""114 North Main Street,  Mifflintown, PA""",17059,Food Bank,Tues. 9am-5pm Sat. 9am-12pm (call for appointment),717-436-9718,,https://jcfoodpantry.com,A resident of Juniata County. Income eligible based on 185% poverty levels.
26,,Bethany Church of the Nazarene,"""1605 Parkway West, Harrisburg, PA""",17112,,First and third Saturday; 10am-12pm,717-545-1633,mailto.office@bethanynazarene.org,https://www.bethanynazarene.org/food-pantry,Please bring a form of ID
27,,The Hummelstown Food Pantry,"""100 West Main Street, Hummelstown, PA""",17036,Food Pantry,Every Wednesday 9:00 am to 5:00 pm,717-566-2589,,https://www.hummelstownfoodpantry.org/,
28,,St. Vincent de Paul Society,"""146 North Monroe Street, Butler, PA""",16001,Food Bank,Monday - Wednesday - Friday 8:30am till 10:00am,724-431-2842,,https://www.svdpbutler.org/FoodBank.html,
29,,Grove City Community Food Pantry,"""114 South Center Street, Grove City, PA""",16127,Food Pantry,Mondays and Fridays 10am-4pm,724-458-5208,gccommunityfoodpantry@gmail.com,https://www.facebook.com/p/Grove-City-Community-Food-Pantry-100064281476198/,Residents of Grove City Area School District - application required
30,,Westmoreland Food Bank,"""100 Devonshire Drive, Delmont, PA""",15626,Food Bank,Monday to Saturday: 8AM–4PM - closed on Sunday,724-468-8660,,https://westmorelandfoodbank.org/,
31,,Cumberland Township Pantry,"""101 West South Street, Carmichaels, PA""",15320,Food Pantry,3rd Thursday 9 a.m. – 11 a.m,724-627-9784,,https://cornercupboard.org/our-programs/,For residents of Cumberland Township only. Income Guidelines apply. Call 724-627-9784 to set-up a registration appointment.
32,,Jackson Township Pantry,"""104 Tunnel Road, Holbrook, PA""",15341,Food Pantry,"2nd Tuesday, 6 p.m. – 8 p.m.",724-627-9784,,https://cornercupboard.org/our-programs/,Income Guidelines apply. Call 724-627-9784 to set-up a registration appointment.
33,,Aleppo-Richhill-Morris-Gray Township Pantry,"""105 Firehall Lane, Graysville, PA""",15337,Food Pantry,3rd Wednesday 1 p.m. – 3 p.m.,724-627-9784,,https://cornercupboard.org/our-programs/,Income Guidelines apply. Call 724-627-9784 to set-up a registration appointment.
34,,Franklin Township Pantry,"""107 Fairgrounds Road, Waynesburg, PA""",15370,Food Pantry,"4th Thursday, 10:30 a.m. – 12 p.m.",724-627-9784,,https://cornercupboard.org/our-programs/,Income Guidelines apply. Call 724-627-9784 to set-up a registration appointment.
35,,Wayne Township Pantry,"""132 Spraggs Road, Spraggs, PA""",15362,Food Pantry,3rd Friday 11 a.m. – 12 p.m.,724-627-9784,,https://cornercupboard.org/our-programs/,Income Guidelines apply. Call 724-627-9784 to set-up a registration appointment.
36,,Jefferson Morgan Township Pantry,"""176 Pine Street, Jefferson, PA""",15344,Food Pantry,3rd Wednesday 12 p.m. – 2 p.m.,724-627-9784,,https://cornercupboard.org/our-programs/,Income Guidelines apply. Call 724-627-9784 to set-up a registration appointment.
37,,Whiteley-Perry Township Pantry,"""256 Mount Morris Road, Mt Morris, PA""",15349,Food Pantry,3rd Wednesday 1 p.m. – 3 p.m.,724-627-9784,,https://cornercupboard.org/our-programs/,Income Guidelines apply. Call 724-627-9784 to set-up a registration appointment.
38,,Springhill-Freeport Pantry,"""268 Windy Gap Road, New Freeport, PA""",15352,Food Pantry,2nd Wednesday 11 a.m. – 1 p.m.,724-627-9784,,https://cornercupboard.org/our-programs/,Income Guidelines apply. Call 724-627-9784 to set-up a registration appointment.
39,,Center Township Pantry,"""3374 West Roy Furman Highway, Rogersville, PA""",15359,Food Pantry,2nd Tuesday 10 a.m. – 12 p.m.,724-627-9784,,https://cornercupboard.org/our-programs/,Income Guidelines apply. Call 724-627-9784 to set-up a registration appointment.
40,,Dunkard Township Pantry,"""777 Larimer Avenue, Bobtown, PA""",15315,Food Pantry,2nd Tuesday 10 a.m. – 12 p.m.,724-627-9784,,https://cornercupboard.org/our-programs/,Income Guidelines apply. Call 724-627-9784 to set-up a registration appointment.
41,,Mon-Greene Township Pantry,"""926 Mapletown Road, Greensboro, PA""",15338,Food Pantry,2nd Tuesday from 11 a.m. until 1 p.m.,724-627-9784,,https://cornercupboard.org/our-programs/,Income Guidelines apply. Call 724-627-9784 to set-up a registration appointment.
42,,Corner Cupboard Food Bank Inc,"""881 Rolling Meadows Road, Waynesburg, PA""",15370,Food Bank,Monday to Friday 8am to 4pm,724-627-9784,,,
43,,The Lion's Pantry,"""100 University Drive, Monaca, PA""",15061,Food Pantry,Open 24/7,724-773-3951,,https://beaver.psu.edu/student-life/activities/sga/lions-pantry,
44,,First United Methodist Church,"""15 East 2nd Street, Greensburg, PA""",15601,Food Pantry,Open on the second Friday of each month,724-834-3111,,,Photo ID - Proof of income eligibility (usually your Access card or SSI paperwork) - Proof of residency in Westmoreland County (a utility bill or invoice with your home address and name on it.) 
45,,The Salvation Army - Greensburg - Food Distribution Center,"""131 East Otterman Street, Greensburg, PA""",15601,Food Distribution,9am-3pm Monday-Thursday,724-834-3335,laurie.greenfield@use.salvationarmy.org,https://www.facebook.com/SalvationArmyofGreensburg,Photo ID - proof of income - proof of residence (utility bill) - birth certificates for all kids 12 and younger
46,,State College Food Bank,"""169 Gerald Street, State College, PA""",16801,Food Bank,M: 1pm-4:30pm W/F: 1PM-3:30PM,814-234-2310,,www.scfoodbank.org,Doors open at 1:00 pm. Please do not arrive before 1:00 pm. If you choose to do so - plan for various types of weather. Clients will be served on a first-come - first-served basis. All clients must arrive and be checked in by 4:30 pm on Mondays and 3:30 pm on Wednesdays and Fridays. NEW CLIENTS: Due to the amount of time needed to process a new client receiving a first-time grocery distribution - ALL NEW CLIENTS should come to the Food Bank on a Monday - Wednesday - or Friday between 2:00-3:00 pm for their first distribution. Clients will need to provide proof-of-address for everyone in their household. Clients who are eligible and have been approved by the Food Bank for call-ahead grocery pick-up must call 48-hours in advance to schedule their pick-up. 
47,,Food Distribution Center - Housing Transitions Inc.,"""217 East Nittany Avenue, State College, PA""",16801,Food Distribution,9:00am-9:00pm daily,814-237-4863,,www.housingtransitions.org,Emergency food pantry is available to all Centre County residents and can be utilized once a month. Provides shelf stable food. Call ahead to schedule your pickup: any day between 9:00am-9:00pm daily
48,,St Clement Food Pantry,"""114 Lindberg Avenue, Johnstown, PA""",15905,Food Pantry,Every 1st and 3rd of every month: 9am-12pm,814-255-2200,,,
49,,St. Bernard's Food Pantry,"""139 Huber Street, Hastings, PA""",16646,Food Pantry,First and Third Wednesdays 9 AM to 11 AM,814-327-0982,,https://www.facebook.com/p/St-Bernard-Food-Pantry-100024632929799/,
50,,Philipsburg Area,"""14 South Front Street, Philipsburg, PA""",16866,Food Bank,Every Wednesday 9am-3pm,814-342-0404,,,Make an appointment ahead of time so they can prepare the proper amount of food for Wednesday
51,,Moshannon Valley YMCA,"""113 North 14th Street, Philipsburg, PA""",16866,Emergency Food,Operating Hours,814-342-0889,,,Those in need.
52,,Enterprise Drive (Moshannon Valley Regional Business Park),"""141 Enterprise Drive, Phillipsburg, PA""",16866,Food Distribution,2nd and 4th Saturday every month - 10am,814-342-0889,mcurtis@ymcaocc.org,,
53,,Fresh Express Distributions (YMCA),"""76 Emery Avenue, Houtzdale, PA""",15661,Food Distribution,1st Thursday every month. 4 pm,814-342-0889,,,This program is income based on family income guidelines and each family or individual must complete a self-declaration form on current income. Self-declarations can be completed at the distribution site prior to receiving food.
54,,Faith Centre Food Bank - Bellefonte Area,"""131 South Allegheny Street, Bellefonte, PA""",16823,Food Bank,Wednesday: 9am-3pm. Emergency Food Tuesday: 10am-12pm,814-355-4400,nsummers@faithcentre.info,https://faithcentre.info/food-bank/,According to the first initial of your last name all clients should come to the Food Bank on Wednesday between the hours of 9am to 2:30pm. First Week of the Month: A-E. Second Week of the Month: F-L. Third Week of the Month: M-R. Fourth Week of the Month: S-Z. Doors Lock at 3pm Sharp. ALL CLIENTS MUST REGISTER AND BRING: 1. Current ID - 2. Bill with name and current address - 3. Income for all people in the household
55,,Penns Valley Food Pantry,"""127 South Pennsylvania Avenue, Centre Hall, PA""",16828,Food Distribution,Third Tuesday of each month from 12:30 to 3 pm or by appointment,814-364-1701,,,Areas served: Centre Hall Borough - Gregg Township - Haines Township - Millheim Borough - Penn Township - Potter Township
56,,The Salvation Army Dubois Corps,"""119 South Jared Street, Dubois, PA""",15801,Emergency Food,Emergencies Only,814-371-5320,andrew.spooner@use.salvationarmy.org brianne.spooner@use.salvationarmy.org,,
57,,The Nehemiah Project Inc. - The Father's House,"""1520 11th Street, Altoona, PA""",16625,Food Pantry,M 5-7pm - Th 12-2pm - Fri 9:15am-12pm,814-381-7019,,,Check facebook page for additional info. Photo ID required - all welcome
58,,Shepherd's Green Community Food Pantry,"""1145 Buffalo Street, Franklin, PA""",16323,Food Pantry,Saturday:Â 9:00 AM - 11:00 AM,814-432-5161,,http://www.stjohnsfranklin.org/connect/shepherds-green-food-pantry,valid ID - proof of Franklin area residency - proof of income
59,,Saint Patrick Community Food Pantry,"""1436 Liberty Street, Franklin, PA""",16323,Food Pantry,2nd Saturday: 9:00 AM - 10:30 AM,814-437-5763,,https://www.stpatrickfranklin.org/Food-Pantry.html,Bring Photo ID - proof of residency (Franklin - Rocky Grove - Polk - Cooperstown - Utica - Polk - Clintonville) - and know your household income. Call for specific dates
60,,Blessed Sacrament Church,"""1626 West 26th Street, Erie, PA""",16508,Food Bank,Every 2nd and 4th Tuesday 9:00am to 11:00am,814-454-0171,twintek@velocity.net,https://www.bsparisherie.org/organizations-and-groups,Residents of Erie within the boundaries of Greengarden Boulevard to Pittsburgh Avenue 38th Street to 12th Street
61,,Second Harvest Food Bank of Northwest Pennsylvania,"""1507 Grimm Drive, Erie, PA""",16501,Food Bank,Monday to Friday 8am to 4pm,814-459-3663 ext 117,info@nwpafoodbank.org,https://www.facebook.com/secondharvestfoodbankofnwpa,
62,,Elk & Cameron County Food Banks,"""135 West 4th Street, Emporium, PA""",15834,Food Bank,,814-486-1161,,https://www.ntcac.org/services/food-nutrition/elk-cameron-food-banks/,Check the website for income guidelines
63,,The Helping Hand Food Pantry,"""409 Center Street, Johnsonburg, PA""",15845,Food Pantry,3rd Friday of every month from 3:00 p.m. to 4:30 p.m.,814-486-1161,,https://www.ntcac.org/services/food-nutrition/elk-cameron-food-banks/,Check the website for income guidelines
64,,The Good Samaritan Food Bank,"""61 Ridgway Drive, Ridgway, PA""",15853,Food Bank,3rd Thursday of every month from 2:00 p.m. to 4:00 p.m.,814-486-1161,,https://www.ntcac.org/services/food-nutrition/elk-cameron-food-banks/,Check the website for income guidelines
65,,The Cameron County Food Pantry,"""75 South Maple Street, Emporium, PA""",15834,Food Pantry,3rd Wednesday of each month from 1:00PM – 3:00PM,814-486-1161,,https://www.ntcac.org/services/food-nutrition/elk-cameron-food-banks/,Check the website for income guidelines
66,,Huntingdon Area Food Pantry,"""700 Penn Street, Huntingdon, PA""",16652,Food Pantry,Tuesday and Thursday 9am. - 11:15am,814-506-6376,,,"Must be Huntingdon resident, and bring a proof of income"
67,,Food For Families,"""945 Franklin Street, Johnstown, PA""",15905,Food Pantry,Monday to Friday 11:30am - 12:30pm,814-535-3315,jtnfoodbank@atlanticbb.net,https://www.facebook.com/foodforfamiliesSVDP,Call for more info
68,,Salvation Army,"""576 Vine Street, Johnstown, PA""",15901,Soup Kitchen,Monday-Friday 10am-4pm,814-539-3110,,https://easternusa.salvationarmy.org/western-pennsylvania/johnstown/,
69,,Saint Vincent De Paul Caring Mins,"""927 Franklin Street, Johnstown, PA""",15905,Food Pantry,2nd Monday of each month: 3:00pm-5:00pm,814-539-4627,,,
70,,First Church of Mount Union ,"""15 West Shirley Street, Mount Union, PA""",17066,Food Pantry,2nd Saturday of every month,814-542-2550,firstchurchmu@gmail.com,https://www.facebook.com/firstchurchmu/,
71,,Kane Area Food Pantry,"""118 Haines Street, Kane, PA""",16735,Food Pantry,Every 4th Friday 12:00 PM - 3:00 PM,814-594-6918,,https://www.facebook.com/KaneAreaFoodPantry,Must live in the Kane Area School District in PA. 
72,,Bedford Food Outreach Inc.,"""140 School Street, Bedford, PA""",15522,Food Distribution,,814-623-4888,bedfordfoodoutreach@embarqmail.com,https://www.facebook.com/Bedford.Food.Outreach/,Check the website for distribution dates
73,,Salvation Army,"""2514 Shadyside Avenue, Huntingdon, PA""",16652,Food Distribution,Breakfast: Sunday 9:30 am,814-643-1430,darlene.higgins@use.salvationarmy.org,https://easternusa.salvationarmy.org/western-pennsylvania/huntingdon?fbclid=IwY2xjawNoj95leHRuA2FlbQIxMABicmlkETFsWXY0M29weGlFaDNsems4AR7zVUGbaaYF1uz4CmqXc9covm5k1xzFsK2NAUVPjdK7bdS2JOqny5XXsfyRhQ_aem_GOmZUKKhSMNvk0eXEhMNUg,
74,,St Vincent De Paul Queen of Peace Food Pantry,"""500 Railroad Avenue, Patton, PA""",16668,Food Pantry,First & Second Wednesday Of Each Month - Third Thursday Of Each Month - 9:00am-11:00 am,814-674-3346,,,
75,,Halfmoon Christian Fellowship Church,"""1776 Halfmoon Valley Drive, Port Matilda, PA""",16870,Food Distribution,1st and 3rd Monday every month 3-5pm,814-692-4178,,https://www.halfmoonchristianfellowship.com/calendar,Check website calander for additional dates
76,,American Rescue Workers,"""811 Scotch Valley Road, Hollidaysburg, PA""",16648,Food Pantry,9am-12pm and 1pm-4pm M-F Closed Sat+Sun,814-695-0762,,https://www.arwholly.org/food-pantry,Clients can receive food from the pantry once a month and must fall below the federal income guidelines. When clients come to pick up their food order they must bring a current gas or electric bill that verifies their address.
77,,Warren First Church of the Nazarene Food Pantry,"""907 Pennsylvania Avenue East, Warren, PA""",16365,Food Pantry,Available on the 2nd and 4th Wednesday morning each month: 9am-11am,814-723-3960,,,Anyone can access this program
78,,Meadville Worship & Service Center,"""1087 Park Avenue, Meadville, PA""",16335,Food Bank,"Tuesday 9am-12pm,  Thursday 1-4pm",814-724-3738,,https://easternusa.salvationarmy.org/western-pennsylvania/meadville/,Anyone can access this program.
79,,Edinboro Food Bank,"""200 Cooper Circle, Edinboro, PA""",16412,Food Bank,Thursday 11:00am to 4pm,814-732-3663,marysargentweber@gmail.com,https://www.facebook.com/p/Edinboro-Food-Bank-61551784772028/,"Residents of Cambridge Springs and General McLane School District - In order to receive food from the pantry, you must fill out a form to see if you are eligible."
80,,The Salvation Army Clearfield,"""119 Byers Stree, Clearfield, PA""",16830,Food Distribution,Tuesday-Wednesday 10am to 3pm. Thursday  10am to 3pm and 4pm to 6pm,814-765-4981,,https://www.facebook.com/TheSalvationArmyClearfield,ID - proof of all house income - proof of residence of: 16825 - 16830 - 16833 - 16836 - 16837 - 16838 - 16843 - 16845 - 16850 - 16855 - 16863 - 16871 - 16873 - 16881. 
81,,The Chrisitan Food Bank,"""817 South Michael Road, Saint Marys, PA""",15870,Food Bank,Thursdays 1:00-3:00 PM,814-834-1951 ,,,Anyone can access this program.
82,,Basic Need Hub,"""222 Boucke Building, University Park, PA""",16801,Food Pantry,,814-863-2020,StudentCare@psu.edu,https://studentaffairs.psu.edu/basic-needs-support,Must fill Basic Needs Request Form that is avaliable on the website
83,,Lion's Pantry,"""133 Bluebell Road, University Park, PA""",16803,Food Bank,M: 10am-1:30pm T: 12pm-5pm W: 10am-4pm Th: 10:30am-1:30pm F: CLOSED Sat: CLOSED Sun: CLOSED CLOSED Spring Break and MAY-AUGUST,814-865-0990,,https://thelionspantry.psu.edu/,Accessible to any Penn State student with a valid PSU ID. 
84,,The Hope Center,"""421 Main Street, Bellwood, PA""",16617,Food Pantry,Saturday 9am-11:30am,814-931-8965,terri@hopecenterbellwood.org,https://www.facebook.com/HopeCenterBellwoodPA/,
85,,Tyrone Area Food Pantry,"""1200 Logan Avenue, Tyrone, PA""",16686,Food Pantry,Every Thursday 9am-10:30am. 2nd Thurs every month 5:30pm-7pm,814-934-7672,,https://www.facebook.com/groups/1929288863786344/,"Photo ID required, and some sort of income statement. Must be living in Tyrone school district"
86,,Second Avenue United Methodist Church Food Pantry,"""130 2nd Avenue, Altoona, PA""",16602,Food Pantry,Last Friday of every month 11am-12pm,814-943-2072,,https://2ndavechurch.org/events/,
87,,St Vincent De Paul Assumption Chapel Food Pantry,"""1523 Adams Avenue, Altoona, PA""",16602,Food Pantry,Tues and Thurs 8:30am-10:30am,814-943-7962,,https://svdpcares.org/food-pantries/,Serving proven needy persons with emergency food in Altoona -​ Bellwood - Antis Townships; Zip codes 16601 - 16602 - 16603 - 16617. Those in need must call beforehand to schedule an appointment.
88,,Reaper's Food Ministry,"""1209 17th Street, Altoona, PA""",16601,Food Distribution, 2nd and 4th thursday 9:30am-11:30pm,814-943-8162,amaworl3@gmail.com,,"Photo ID required to receive ""Reapers ID Card"" - if you desire food and are not signed up we ask that you come by 11 - 11:30 for food. Please call the office for questions."
89,,Altoona/Blair County Food Bank,"""2318 North Branch Avenue, Altoona, PA""",16601,Food Bank,Monday - Wednesday - Friday from 9 am to Noon Excluding Holidays.,814-944-4013,,https://www.facebook.com/p/AltoonaBlair-County-Food-Bank-100087452622659/,Offering maximum 3-day supply for emergencies not qualifying for immediate government assistance. Residents who are referred by social service/clergy members can use the pantry 12 times/12 months. Referral required.
90,,Ivyside Eats,"""3000 Ivyside Park, Altoona, PA""",16601,Food Pantry,Call or use online form to make an appointment,814-949-5100,ivysideeats@psu.edu,https://altoona.psu.edu/diversity-equity-inclusion-belonging/ivyside-eats,must provide their Penn State ID
91,,Lion's Pantry,"""1 Campus Drive, Mont Alto, PA""",17237,Food Pantry,Sunday: 12 to 8 pm - Monday: 8 am to 8 pm - Tuesday: 8 am to 8 pm - Wednesday: 8 am to 8 pm - Thursday: 8 am to 8 pm - Friday: 8 am to 5 pm,,,https://montalto.psu.edu/student-life/student-affairs/lions-pantry,For students of PSU Mont Alto
92,,Nittany Nook Food Pantry,"""147 Shenango Avenue, Sharon, PA""",16146,Food Pantry,Grab-n-go open with building hours,,ShenangoNittanyNook@psu.edu,https://shenango.psu.edu/student-life/nittany-nook-food-pantry,For students of PSU Shenango. No ID required (grab n go). Additional resources available.
93,,LionShare Pantry and Market,"""1600 Woodland Road, Abington, PA""",19001,Food Pantry,Monday 3:00 p.m.-6:00 p.m. Tuesday 3:00 p.m.-6:00 p.m. Wednesday 2:00 p.m.-6:00 p.m. Friday 9:00 a.m.-11:00 a.m.,,lionshare@psu.edu,https://www.abington.psu.edu/campus-life/student-care-and-advocacy/lion-pantry,
94,,PSU Fayette Food Pantry,"""2201 University Drive, Lemont Furnace, PA""",15456,Food Pantry,Monday through Friday 8:00 a.m. to 5:00 p.m.,,fefoodpantry@psu.edu,https://fayette.psu.edu/student-life/food-pantry,For students of PSU Fayette
95,,Campus Food Pantry & Career Closet,"""25 Yearsley Mill Road, Media, PA""",19063,Food Pantry,7:30am to 11:00pm Monday thru Friday,,bw-foodpantry@psu.edu,https://socialimpact.bw.psu.edu/programs/foodpantry/,For students of PSU Brandywine
96,,Westmoreland Food Bank,"""100 Devonshire Drive""",15626,Food Pantry,"Monday through Friday, 8:00am to 4:00pm",800-462-2080,,https://westmorelandfoodbank.org/receive-assistance/food-pantries,"Westmoreland County residents are determined eligible through self declaration of need. Household income must be at or below 185% of the Federal Poverty Guidelines. Hours Office Hours: Monday through Friday, 8:00am to 4:00pm. Hours vary at each food pantry location website available 24/7. | Visit the website or call for information. Fees Service is provided free of charge. Fees Service is provided free of charge. Service area Westmoreland, PA"
97,,Office of Children and Families,"""1401 John F Kennedy Boulevard""",19102,Food Pantry,,215-709-5366,,https://www.phila.gov/food/,"No limitations or restrictions. Hours Hours vary by site visit the website for more information. Website available 24/7. | Visit the website for information Fees Services provided free of charge Fees Services provided free of charge Service area Philadelphia, PA"
98,,Greater Pittsburgh Community Food Bank,"""1 North Linden Street""",15110,Food Pantry,"Monday through Friday, 8:00am to 4:30pm",833-822-7627,,https://findfood.pittsburghfoodbank.org,"Serves individuals and families in eleven counties of Southwestern Pennsylvania. Income guidelines apply for some services. Visit the website or call for details. Hours Find Food Tool available 24/7 Phone Hours: Monday through Friday, 8:00am to 4:30pm. Program hours vary by site. | Use the Find Food Guide to find contact information for a program near you or call for assistance. Fees Service provided free of charge. Fees Service provided free of charge. Service area Allegheny, PA Armstrong, PA Beaver, PA Butler, PA Cambria, PA Fayette, PA Greene, PA Indiana, PA Lawrence, PA Somerset, PA Washington, PA"
99,,Chester County Food Bank,"""650 Pennsylvania Drive""",19341,Food Pantry,Monday through 8:00am to 4:30pm,610-873-6000,,https://chestercountyfoodbank.org/find-help/food-finder/,"Residents of Chester County Hours Office Hours: Monday through 8:00am to 4:30pm Website available 24/7 | Visit website. Fees Services free of charge Fees Services free of charge Service area Chester, PA"
